"      cube"

"Time      "	"ORIENT_REF_MARKER_euler_par_1.Q"	"ORIENT_REF_MARKER_euler_par_2.Q"	"ORIENT_REF_MARKER_euler_par_3.Q"	"ORIENT_REF_MARKER_euler_par_4.Q"	"REF_MARKER_acl_x.Q"	"REF_MARKER_acl_y.Q"	"REF_MARKER_acl_z.Q"	"REF_MARKER_angacl_x.Q"	"REF_MARKER_angacl_y.Q"	"REF_MARKER_angacl_z.Q"	"REF_MARKER_angvel_x.Q"	"REF_MARKER_angvel_y.Q"	"REF_MARKER_angvel_z.Q"	"REF_MARKER_force_x.Q"	"REF_MARKER_force_y.Q"	"REF_MARKER_force_z.Q"	"J4_f_x.Q  "	"J4_f_y.Q  "	"J4_f_z.Q  "	"J5_fx.Q   "	"J5_fy.Q   "	"J5_fz.Q   "	"J6_fx.Q   "	"J6_fy.Q   "	"J6_fz.Q   "	"SFORCE_1.FX"	"SFORCE_1.FY"	"SFORCE_1.FZ"
3.287671e-01	9.999884e-01	1.210253e-03	-3.769820e-03	2.733641e-03	-1.692573e-01	1.422411e-01	1.451052e-01	-6.991908e-02	7.947668e-01	-2.590953e-01	-4.748547e-03	2.531234e-01	-2.590953e-01	-5.202614e+02	3.210817e+04	-3.191666e+04	-5.202614e+02	3.210817e+04	-3.191666e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.339621e-15	9.363203e-15	-9.226340e-15
3.444227e-01	9.999976e-01	1.163930e-03	-1.731781e-03	7.070289e-04	-2.108355e-01	1.740807e-01	1.782295e-01	-5.792157e-02	4.439733e-01	-2.591856e-01	-5.655709e-03	2.600741e-01	-2.591856e-01	-5.192681e+02	3.208581e+04	-3.187675e+04	-5.192681e+02	3.208581e+04	-3.187675e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.527483e-16	2.682590e-20	-9.990560e-15
3.600783e-01	9.999985e-01	1.112001e-03	3.170451e-04	-1.269367e-03	-2.482503e-01	1.858492e-01	1.909832e-01	-4.724562e-02	8.857868e-02	-2.527642e-01	-6.369117e-03	2.614615e-01	-2.527642e-01	-5.103414e+02	3.208630e+04	-3.186573e+04	-5.103414e+02	3.208630e+04	-3.186573e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.044512e-14	-9.363149e-15	-6.273592e-18
3.757339e-01	9.999918e-01	1.056051e-03	2.333899e-03	-3.147281e-03	-2.778254e-01	1.777649e-01	1.833789e-01	-3.803223e-02	-2.599866e-01	-2.401752e-01	-6.913877e-03	2.573928e-01	-2.401752e-01	-4.924852e+02	3.211012e+04	-3.188380e+04	-4.924852e+02	3.211012e+04	-3.188380e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.382021e-16	3.868485e-18	9.978013e-15
3.913894e-01	9.999784e-01	9.974692e-04	4.278142e-03	-4.882764e-03	-2.964784e-01	1.522217e-01	1.577051e-01	-3.015138e-02	-5.913304e-01	-2.219702e-01	-7.315295e-03	2.481378e-01	-2.219702e-01	-4.649612e+02	3.215516e+04	-3.192793e+04	-4.649612e+02	3.215516e+04	-3.192793e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.168713e-15	9.370886e-15	8.437357e-17
4.070450e-01	9.999602e-01	9.374536e-04	6.112290e-03	-6.437441e-03	-3.021901e-01	1.133037e-01	1.180566e-01	-2.325167e-02	-8.970353e-01	-1.988612e-01	-7.594742e-03	2.340979e-01	-1.988612e-01	-4.273701e+02	3.221713e+04	-3.199246e+04	-4.273701e+02	3.221713e+04	-3.199246e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.209234e-16	-7.102282e-18	-9.809266e-15
4.227006e-01	9.999389e-01	8.770480e-04	7.802747e-03	-7.779341e-03	-2.942262e-01	6.609579e-02	6.962856e-02	-1.684021e-02	-1.171115e+00	-1.716660e-01	-7.766648e-03	2.157678e-01	-1.716660e-01	-3.797145e+02	3.229035e+04	-3.207005e+04	-3.797145e+02	3.229035e+04	-3.207005e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.061056e-14	-9.385091e-15	-1.538394e-16
4.383562e-01	9.999168e-01	8.171947e-04	9.320242e-03	-8.883304e-03	-2.730936e-01	1.596363e-02	1.796015e-02	-1.037833e-02	-1.409973e+00	-1.412548e-01	-7.837026e-03	1.936989e-01	-1.412548e-01	-3.224330e+02	3.236857e+04	-3.215269e+04	-3.224330e+02	3.236857e+04	-3.215269e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.073741e-16	9.349609e-18	9.501587e-15
4.540117e-01	9.998958e-01	7.587918e-04	1.064003e-02	-9.731053e-03	-2.402919e-01	-3.205751e-02	-3.171824e-02	-3.376103e-03	-1.611979e+00	-1.085058e-01	-7.803611e-03	1.684676e-01	-1.085058e-01	-2.563987e+02	3.244573e+04	-3.223266e+04	-2.563987e+02	3.244573e+04	-3.223266e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.995811e-15	9.403790e-15	2.097328e-16
4.696673e-01	9.998777e-01	7.027443e-04	1.174191e-02	-1.031101e-02	-1.979559e-01	-7.369309e-02	-7.494842e-02	4.528804e-03	-1.776857e+00	-7.427453e-02	-7.657418e-03	1.406549e-01	-7.427453e-02	-1.828849e+02	3.251652e+04	-3.230324e+04	-1.828849e+02	3.251652e+04	-3.230324e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.904804e-16	-1.052849e-17	-9.082121e-15
4.853229e-01	9.998639e-01	6.499994e-04	1.261018e-02	-1.061796e-02	-1.484833e-01	-1.056722e-01	-1.083062e-01	1.351737e-02	-1.905054e+00	-3.937565e-02	-7.385306e-03	1.108347e-01	-3.937565e-02	-1.035040e+02	3.257658e+04	-3.235913e+04	-1.035040e+02	3.257658e+04	-3.235913e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.077677e-14	-9.424847e-15	-2.485236e-16
5.009785e-01	9.998555e-01	6.015622e-04	1.323357e-02	-1.065271e-02	-9.421599e-02	-1.258201e-01	-1.294986e-01	2.356376e-02	-1.997203e+00	-4.575803e-03	-6.973100e-03	7.957125e-02	-4.575803e-03	-2.013121e+01	3.262270e+04	-3.239659e+04	-2.013121e+01	3.262270e+04	-3.239659e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.754680e-16	1.070819e-17	8.585074e-15
5.166341e-01	9.998530e-01	5.584887e-04	1.360512e-02	-1.042169e-02	-3.721165e-02	-1.330521e-01	-1.373548e-01	3.443646e-02	-2.053764e+00	2.940576e-02	-6.408787e-03	4.742136e-02	2.940576e-02	6.517702e+01	3.265274e+04	-3.241353e+04	6.517702e+01	3.265274e+04	-3.241353e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.825836e-15	9.446263e-15	2.680970e-16
5.322896e-01	9.998563e-01	5.218578e-04	1.372226e-02	-9.936609e-03	2.088267e-02	-1.273160e-01	-1.317616e-01	4.572148e-02	-2.074845e+00	6.189282e-02	-5.685423e-03	1.494050e-02	6.189282e-02	1.502615e+02	3.266560e+04	-3.240941e+04	1.502615e+02	3.266560e+04	-3.240941e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.060538e-15	-1.000013e-17	-8.048880e-15
5.479452e-01	9.998651e-01	4.927266e-04	1.358677e-02	-9.214169e-03	7.885929e-02	-1.095129e-01	-1.135816e-01	5.686175e-02	-2.060197e+00	9.224761e-02	-4.803472e-03	-1.731199e-02	9.224761e-02	2.329311e+02	3.266122e+04	-3.238518e+04	2.329311e+02	3.266122e+04	-3.238518e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.094691e-14	-9.466263e-15	-2.677134e-16
5.636008e-01	9.998785e-01	4.720729e-04	1.320488e-02	-8.275773e-03	1.358929e-01	-8.140626e-02	-8.456527e-02	6.720696e-02	-2.009374e+00	1.198688e-01	-3.772417e-03	-4.876963e-02	1.198688e-01	3.110237e+02	3.264054e+04	-3.234316e+04	3.110237e+02	3.264054e+04	-3.234316e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.143710e-15	8.503354e-18	7.513454e-15
5.792564e-01	9.998951e-01	4.607306e-04	1.258727e-02	-7.147213e-03	1.914157e-01	-4.551383e-02	-4.725222e-02	7.606913e-02	-1.922009e+00	1.441946e-01	-2.611553e-03	-7.886018e-02	1.441946e-01	3.824589e+02	3.260555e+04	-3.228695e+04	3.824589e+02	3.260555e+04	-3.228695e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.659491e-15	9.483270e-15	2.480084e-16
5.949119e-01	9.999137e-01	4.593248e-04	1.174914e-02	-5.858292e-03	2.449465e-01	-4.964067e-03	-4.840687e-03	8.277974e-02	-1.798187e+00	1.647119e-01	-1.349956e-03	-1.070126e-01	1.647119e-01	4.452819e+02	3.255926e+04	-3.222125e+04	4.452819e+02	3.255926e+04	-3.222125e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.229903e-15	-6.314053e-18	-7.017437e-15
6.105675e-01	9.999327e-01	4.682105e-04	1.071001e-02	-4.442317e-03	2.959055e-01	3.670236e-02	3.899997e-02	8.674562e-02	-1.638838e+00	1.809719e-01	-2.564834e-05	-1.326706e-01	1.809719e-01	4.977016e+02	3.250560e+04	-3.215160e+04	4.977016e+02	3.250560e+04	-3.215160e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.111930e-14	-9.495898e-15	-2.110139e-16
6.262231e-01	9.999505e-01	4.874223e-04	9.493529e-03	-2.935434e-03	3.434490e-01	7.579777e-02	8.039178e-02	8.750079e-02	-1.446099e+00	1.926113e-01	1.315981e-03	-1.553110e-01	1.926113e-01	5.381226e+02	3.244916e+04	-3.208400e+04	5.381226e+02	3.244916e+04	-3.208400e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.312941e-15	3.576000e-18	6.595409e-15
6.418787e-01	9.999659e-01	5.166380e-04	8.127000e-03	-1.375779e-03	3.863671e-01	1.088130e-01	1.155847e-01	8.475175e-02	-1.223553e+00	1.993750e-01	2.624428e-03	-1.744671e-01	1.993750e-01	5.651726e+02	3.239489e+04	-3.202444e+04	5.651726e+02	3.239489e+04	-3.202444e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.493413e-15	9.503050e-15	1.601102e-16
6.575342e-01	9.999778e-01	5.551607e-04	6.640769e-03	1.975385e-04	4.230751e-01	1.327720e-01	1.413379e-01	7.841278e-02	-9.762715e-01	2.011386e-01	3.846897e-03	-1.897513e-01	2.011386e-01	5.777271e+02	3.234751e+04	-3.197825e+04	5.777271e+02	3.234751e+04	-3.197825e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.398317e-15	-5.303668e-19	-6.275189e-15
6.731898e-01	9.999855e-01	6.019240e-04	5.067436e-03	1.745580e-03	4.517158e-01	1.455626e-01	1.552898e-01	6.862751e-02	-7.106286e-01	1.979233e-01	4.931544e-03	-2.008763e-01	1.979233e-01	5.749329e+02	3.231101e+04	-3.194954e+04	5.749329e+02	3.231101e+04	-3.194954e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.129005e-14	-9.504111e-15	-9.980615e-17
6.888454e-01	9.999886e-01	6.555190e-04	3.440964e-03	3.230767e-03	4.703609e-01	1.461794e-01	1.562449e-01	5.577249e-02	-4.338986e-01	1.899030e-01	5.830914e-03	-2.076683e-01	1.899030e-01	5.562349e+02	3.228815e+04	-3.194067e+04	5.562349e+02	3.228815e+04	-3.194067e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.482766e-15	-2.484777e-18	6.075576e-15
7.045010e-01	9.999875e-01	7.142473e-04	1.795737e-03	4.618031e-03	4.772688e-01	1.348266e-01	1.443140e-01	4.043944e-02	-1.537062e-01	1.773981e-01	6.505287e-03	-2.100733e-01	1.773981e-01	5.214076e+02	3.228010e+04	-3.195199e+04	5.214076e+02	3.228010e+04	-3.195199e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.324515e-15	9.499141e-15	3.531050e-17
7.201566e-01	9.999824e-01	7.761929e-04	1.656527e-04	5.875831e-03	4.711431e-01	1.128565e-01	1.208734e-01	2.339551e-02	1.225547e-01	1.608596e-01	6.925584e-03	-2.081528e-01	1.608596e-01	4.705916e+02	3.228637e+04	-3.198181e+04	4.705916e+02	3.228637e+04	-3.198181e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.566672e-15	5.106499e-18	-6.004955e-15
7.358121e-01	9.999743e-01	8.393114e-04	-1.416701e-03	6.976975e-03	4.513316e-01	8.255779e-02	8.835316e-02	5.524002e-03	3.882160e-01	1.408432e-01	7.075498e-03	-2.020730e-01	1.408432e-01	4.043288e+02	3.230497e+04	-3.202663e+04	4.043288e+02	3.230497e+04	-3.202663e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.145786e-14	-9.488928e-15	2.802372e-17
7.514677e-01	9.999641e-01	9.015287e-04	-2.920732e-03	7.899201e-03	4.179266e-01	4.684236e-02	4.990161e-02	-1.224763e-02	6.376598e-01	1.179789e-01	6.952591e-03	-1.920878e-01	1.179789e-01	3.235915e+02	3.233274e+04	-3.208166e+04	3.235915e+02	3.233274e+04	-3.208166e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.652153e-15	-7.049792e-18	6.061003e-15
7.671233e-01	9.999530e-01	9.608405e-04	-4.318391e-03	8.625518e-03	3.717558e-01	8.892227e-03	8.996836e-03	-2.902365e-02	8.664398e-01	9.294075e-02	6.568230e-03	-1.785209e-01	9.294075e-02	2.297925e+02	3.236588e+04	-3.214141e+04	2.297925e+02	3.236588e+04	-3.214141e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-8.153553e-15	9.474829e-15	-8.523170e-17
7.827789e-01	9.999421e-01	1.015405e-03	-5.584583e-03	9.144332e-03	3.142773e-01	-2.817272e-02	-3.092691e-02	-4.400971e-02	1.071220e+00	6.641844e-02	5.946399e-03	-1.617482e-01	6.641844e-02	1.247730e+02	3.240034e+04	-3.220026e+04	1.247730e+02	3.240034e+04	-3.220026e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.735746e-15	8.169837e-18	-6.231466e-15
